Date;Calendrier Zone A;Calendrier Zone B;Calendrier Zone C;Nom de la période;timestamp_unix
2021-01-18;Hors Vacances;Hors Vacances;Hors Vacances;;1610928000
2021-01-22;Hors Vacances;Hors Vacances;Hors Vacances;;1611273600
2021-02-01;Hors Vacances;Hors Vacances;Hors Vacances;;1612137600
2021-04-21;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1618963200
2021-04-25;Vacances de printemps;Vacances de printemps;Vacances de printemps;Vacances de printemps;1619308800
2021-06-12;Hors Vacances;Hors Vacances;Hors Vacances;;1623456000
2021-07-20;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1626739200
2021-09-01;Hors Vacances;Hors Vacances;Hors Vacances;;1630454400
2021-10-06;Hors Vacances;Hors Vacances;Hors Vacances;;1633478400
2021-11-02;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1635811200
2021-11-17;Hors Vacances;Hors Vacances;Hors Vacances;;1637107200
2021-11-27;Hors Vacances;Hors Vacances;Hors Vacances;;1637971200
2021-11-29;Hors Vacances;Hors Vacances;Hors Vacances;;1638144000
2021-12-04;Hors Vacances;Hors Vacances;Hors Vacances;;1638576000
2021-01-03;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1609632000
2021-01-29;Hors Vacances;Hors Vacances;Hors Vacances;;1611878400
2021-01-31;Hors Vacances;Hors Vacances;Hors Vacances;;1612051200
2021-02-04;Hors Vacances;Hors Vacances;Hors Vacances;;1612396800
2021-03-03;Hors Vacances;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1614729600
2021-03-20;Hors Vacances;Hors Vacances;Hors Vacances;;1616198400
2021-03-22;Hors Vacances;Hors Vacances;Hors Vacances;;1616371200
2021-04-12;Vacances de printemps;Hors Vacances;Hors Vacances;Vacances de printemps;1618185600
2021-06-25;Hors Vacances;Hors Vacances;Hors Vacances;;1624579200
2021-08-31;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1630368000
2021-10-15;Hors Vacances;Hors Vacances;Hors Vacances;;1634256000
2021-10-28;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1635379200
2021-11-11;Hors Vacances;Hors Vacances;Hors Vacances;;1636588800
2021-12-09;Hors Vacances;Hors Vacances;Hors Vacances;;1639008000
2021-01-30;Hors Vacances;Hors Vacances;Hors Vacances;;1611964800
2021-02-05;Hors Vacances;Hors Vacances;Hors Vacances;;1612483200
2021-03-16;Hors Vacances;Hors Vacances;Hors Vacances;;1615852800
2021-04-22;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1619049600
2021-06-01;Hors Vacances;Hors Vacances;Hors Vacances;;1622505600
